Series Name,Series Code,Country Name,Country Code,1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Austria,AUT,20483.45356,21628.96643,22561.3708,23410.89057,23387.70675,24501.74972,25736.55157,25703.13768,27126.17851,27595.83514,27485.83248,28018.54131,28898.2193,28914.8569,29623.43446,30285.93364,30677.54448,31643.80936,32726.05985,33888.99598,34707.07176,35045.84479,34941.1438,35643.0282,36537.99352,37346.00747,38084.7025,39405.41522,40727.4845,42001.21077,42370.93025,42859.32994,43052.6026,43956.5829,44637.85601,45951.73464,47510.29379,48053.48236,46123.4911,46858.04327,48065.31654,48172.23812,47901.36613,47842.74891,47789.38502,48215.89053,49031.10703,50051.78591,50552.90612,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3167.062088,3096.449796,2360.6147,1787.943763,1416.442362,1234.99656,1238.481366,1297.733809,1414.022286,1505.390501,1658.805293,1808.957401,1964.986328,2149.232505,2327.651858,2948.206048,3921.027553,4863.98288,5267.371989,5642.504715,5842.805784,5676.450413,5724.920832,5981.580656,6072.646128,6063.717832,5812.608671,5764.69252,5800.715184,5879.992654,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,"Bahamas, The",BHS,24941.52619,23531.06042,24802.67287,20245.3192,16903.58676,17410.19814,18599.90509,20775.91397,25633.30966,26701.07411,23704.54379,24734.44956,25066.33153,28016.20823,28786.35547,28759.42193,29099.83655,29269.04285,30706.70566,29687.04145,27924.10671,26348.97302,25938.66103,26292.10653,27018.47566,27783.39148,28022.88277,29017.36419,30724.1903,31570.74643,31910.56709,32236.54124,31272.9894,30978.70155,31442.37084,31632.54749,31485.64605,30191.03918,28440.18186,28443.40766,28248.98643,28800.007,27754.86932,27785.28109,27583.40874,27705.92706,28282.5181,28845.25577,28908.54857,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Bahrain,BHR,..,..,..,..,..,..,..,..,..,21185.00475,19295.60518,17290.83596,17906.03487,18304.68153,16926.47296,16571.52027,17663.56267,18240.7419,17702.50429,17934.7616,19407.65408,20178.52461,22218.0606,21623.23477,21910.34028,22220.78269,22281.7807,22634.98565,22761.15356,22955.23726,22416.23091,21981.91953,22058.87215,22144.60688,22066.20907,21795.64147,21837.50689,21562.66247,20796.20192,20722.13729,20516.58832,20924.71043,21805.11738,22395.30603,22353.3596,22272.9669,22167.07828,21478.11443,20912.98688,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Bangladesh,BGD,380.9486597,322.3344487,328.0719297,353.7625507,332.888107,343.9482029,344.4356122,359.090653,366.2411602,359.4563055,375.4274822,373.551398,378.0919793,386.0614947,388.6443256,394.3351215,398.5881798,397.7619647,398.8521635,411.1646661,415.7147964,428.6610748,439.2300588,446.6548722,459.6134291,470.2747514,481.1225182,495.6268202,508.3852905,524.9459397,541.2917331,551.9031214,568.1393014,588.3273374,617.5427488,649.9299718,687.3231773,720.3571,748.2961603,781.1535936,822.1883021,865.750045,907.2575391,951.314948,1002.388866,1062.040059,1127.271562,1203.216425,1287.821597,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Barbados,BRB,..,..,..,11160.39664,10881.18786,11290.08817,11637.65157,12143.45572,13042.09894,13556.18596,13251.1903,12562.8734,12590.85985,13007.98052,13111.52995,13735.52645,14041.60159,14480.05035,14944.77933,14396.25042,13783.62383,12950.48044,13004.31266,13214.76974,13427.08353,13903.8154,14501.07574,14977.57448,14965.74241,15570.04217,15146.78899,15214.4098,15494.16941,15658.37462,16216.52921,17102.31839,17402.22461,17446.22177,16492.1168,16056.37098,15900.02368,15787.80402,15533.10634,15484.9469,15836.3825,16202.11619,16254.24043,16136.90993,16099.82841,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3102.331281,3063.600057,2763.530345,2547.766023,2252.316991,2024.608925,2088.263043,2336.212657,2544.5268,2642.130343,2808.574949,2956.415305,3125.40644,3369.029306,3780.475997,4164.185508,4608.736747,5028.106902,5560.146229,5583.701855,6029.3968,6365.378053,6478.704811,6542.678412,6649.649328,6384.817145,6215.701866,6375.28893,6586.29774,6678.509065,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Belgium,BEL,20559.72342,21563.87846,22867.95157,23836.81579,23300.76641,24573.95292,24697.30893,25375.49451,25946.22174,27069.43583,26994.5473,27162.54221,27249.41135,27921.90545,28374.66445,28881.56922,29522.58933,30818.86571,31772.40114,32671.64524,33147.13912,33518.24318,33066.41735,34028.42484,34767.02891,35157.69524,36403.25822,37038.24896,38262.62476,39588.59788,39886.49531,40385.86809,40634.59649,41903.9924,42641.69358,43442.5827,44710.38425,44556.82522,43306.59602,44141.87814,44309.63254,44361.21009,44355.37731,44855.9702,45507.23106,45850.93303,46409.13008,47035.61395,47618.29821,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Belize,BLZ,1369.2786,1481.219445,1534.616084,1715.993211,1751.593439,1726.549097,1813.991996,1929.837828,2040.543899,2268.962276,2241.645231,2181.084647,2075.140364,2056.348069,2019.559658,2053.378395,2211.830139,2364.458854,2607.377472,2842.491747,3109.076176,3426.712788,3580.98744,3513.539262,3446.324005,3385.536814,3381.457741,3375.415417,3537.585989,3863.547483,3921.77712,3992.764924,4251.270697,4340.747197,4311.70192,4402.687491,4311.266065,4348.225474,4249.301505,4270.864345,4250.493617,4253.09941,4212.331737,4270.945104,4300.559338,4216.977268,4211.59955,4217.207161,4149.861906,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Benin,BEN,766.3516048,797.6471836,808.583731,816.2546,757.8102672,745.7809495,763.2763988,753.0082312,781.2528991,812.09828,868.8693174,863.9575466,803.4359059,842.7670283,880.4566352,873.8374404,835.9139926,838.9278559,790.1005551,833.6122398,839.9868784,835.2611143,853.5966842,841.5124559,863.4706425,872.91714,895.4440269,903.7740116,924.3572067,949.7362592,970.5902433,985.2133544,988.6274816,1001.8544,989.372279,999.0200266,1029.032263,1049.367869,1043.961894,1036.533952,1037.74704,1057.66774,1102.52743,1140.447754,1128.99638,1134.924536,1166.760575,1211.316563,1259.808071,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Bermuda,BMU,52514.97239,53861.49513,55067.02582,55966.1753,58513.34791,63503.95373,66997.18956,67716.89303,68914.28963,73204.99109,74430.61507,69989.37031,70781.40371,70500.71086,68511.47273,72462.50555,74572.94205,76935.48006,76628.17446,76016.32796,73708.56247,74200.08865,76023.75321,75951.00103,78726.82971,80259.60014,83440.86915,86060.60243,88475.22319,95861.42169,101681.5229,99529.19812,102252.5865,103944.939,105003.1826,110190.6255,113236.0909,110467.7173,103675.4668,101875.2841,98912.90278,93327.03127,92775.33982,89153.75599,89708.82587,90062.16131,94309.58488,93832.36662,94266.84176,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Bhutan,BTN,..,..,..,..,..,..,..,..,..,390.0646246,432.3736025,435.8523413,473.1402268,481.5862387,488.0436322,528.8608284,659.1167694,671.3082066,703.7477675,767.6115448,759.0069104,794.1002878,812.793617,854.1601532,909.9261582,948.4220143,980.8322751,1015.521226,1070.974663,1119.76412,1187.889859,1291.973371,1366.819935,1424.053057,1504.455616,1588.531369,1859.086234,1928.76868,2038.56142,2258.183141,2411.028932,2504.505891,2526.433665,2639.600883,2780.819539,2970.766507,3072.020299,3128.835496,3262.198968,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Bolivia,BOL,1439.011797,1520.268151,1572.743635,1583.775151,1662.482406,1701.092532,1746.450078,1743.38944,1708.169151,1649.255576,1619.790768,1524.614106,1433.774799,1402.225117,1350.754071,1288.94019,1293.286046,1303.107769,1324.163308,1356.539894,1398.123019,1391.480124,1420.743231,1456.394559,1493.41842,1527.111292,1570.824928,1617.367055,1592.737364,1601.416607,1597.64196,1606.904626,1620.263612,1657.505076,1700.182737,1750.802993,1799.498489,1878.110253,1909.084527,1955.461544,2024.11724,2094.024152,2201.39677,2286.013172,2361.056537,2425.561575,2490.956226,2559.511191,2579.899012,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,700.700769,870.2046283,1672.546863,2264.787795,2619.309603,2863.848215,3015.059704,3144.088044,3307.312191,3437.05754,3644.758983,3962.815788,4177.259602,4425.110355,4676.500772,4558.25642,4635.517779,4736.619934,4770.931629,4969.006859,5113.673684,5352.720455,5591.58574,5828.716537,6096.919492,6303.688665,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Botswana,BWA,910.2520328,1114.443231,1307.140241,1372.792521,1435.239234,1529.018571,1647.324959,1811.173965,1954.642086,2108.995929,2219.727361,2405.81695,2631.227957,2758.30511,2849.467459,2967.59466,3193.81431,3671.443505,4002.761601,4133.458306,4309.257131,4313.864062,4284.792186,4332.029138,4525.768596,4676.43578,4948.405324,4858.706412,5214.446321,5211.073805,5126.354285,5341.920195,5493.144221,5542.305533,5686.780641,6038.791926,6400.71769,6657.83251,6029.198746,6434.815724,6728.204884,6944.809149,7646.414106,7864.25098,7613.69852,7797.146477,7859.168999,8032.681937,8092.967087,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Brazil,BRA,5108.403386,5587.886256,6219.514016,6623.415508,6805.298288,7296.347484,7453.590172,7514.289263,7835.070313,8349.48782,7796.854344,7660.578573,7230.716108,7442.972411,7862.703519,8316.516809,8445.712012,8276.326867,8389.978723,7983.746776,7963.111809,7791.757425,8020.606574,8311.560888,8540.076878,8591.014709,8744.846346,8641.275309,8554.072776,8803.152529,8804.329488,8954.837245,8943.828483,9346.039343,9535.41883,9805.724506,10293.53034,10710.87222,10594.98659,11286.24302,11627.81065,11745.77593,11993.48398,11951.20945,11431.15448,10965.97426,11021.71826,11079.70968,11121.73992,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Brunei Darussalam,BRN,..,..,..,45632.24667,43937.46879,50735.57673,54169.98977,55768.53774,66019.87519,59413.39461,46170.99326,46590.01763,45496.4993,44489.95516,42601.63768,40284.28032,39943.67288,39251.68759,37740.77822,37080.90577,37171.47491,37848.12925,36913.64612,37052.26797,37713.68994,37842.928,36409.37199,35390.79018,35680.97887,35931.5965,36171.80507,36841.29421,37212.46691,36761.24982,36329.49828,37399.74001,36987.84159,35844.41601,34800.56353,35269.55311,36121.89198,35967.3284,34729.82663,33416.78184,32873.46691,31685.22545,31752.74081,31436.8682,32327.40553,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Bulgaria,BGR,..,..,..,..,..,..,..,..,..,3651.359286,3817.537913,3895.121514,4018.695057,4145.477145,4256.781274,4437.066231,4698.791574,5207.205091,5095.162144,4714.899612,4359.67583,4086.269054,4058.024212,4145.854414,4283.255808,4526.653916,3907.913308,4102.664456,3784.078104,3984.665968,4219.943189,4569.274282,4842.885654,5193.913461,5607.527055,6034.620126,6477.770277,6920.388954,6730.058143,6812.406338,7017.663646,7083.598787,7146.558796,7322.808629,7663.722029,8012.511208,8353.968238,8674.723202,9058.73528,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Burkina Faso,BFA,306.4990889,308.1040903,303.9927735,323.2119879,326.7095291,347.8404369,342.3141871,350.8561732,356.0358177,350.9207452,357.3520015,382.0552244,373.8382229,357.9088168,378.509124,398.172505,387.0138867,398.8486644,396.8109098,384.0684605,407.8384455,397.9258378,400.6937619,395.0406182,406.3110743,438.7645529,453.6743033,473.3715264,494.2312303,489.4553635,507.1179701,514.1898651,538.4738183,546.3577203,576.371745,594.378679,600.4561144,616.3532543,615.6909235,647.8358465,670.2645482,692.4450379,711.0359897,720.152194,726.7125092,747.8856888,771.6479441,800.3117211,822.203917,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Burundi,BDI,266.9780626,247.1040037,261.5291709,256.6873304,254.6759476,269.8015116,294.2253386,284.4600856,281.9172604,277.4474586,303.2276537,292.2778114,295.1964783,287.7496978,312.8721134,314.0568755,322.0862632,329.025421,324.7711903,327.9866819,336.5802704,332.7658755,305.9481493,289.1969183,262.3750659,238.4746315,232.3054774,240.8445729,235.3092857,229.2061073,228.6603888,232.4664977,222.8073211,226.2884716,221.0963747,225.6222104,225.8590853,229.1485451,230.1925985,234.2356469,235.9887667,238.8160458,242.8459947,245.3267387,228.4325442,219.9614978,214.1392462,210.8042258,208.0747269,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,680.4932818,725.6576536,732.0157637,785.7513407,799.7461661,853.4115573,864.2247403,888.7793562,928.7428593,965.5579642,952.7619366,943.035125,1018.164761,1075.697837,1246.779297,1387.557238,1508.86912,1640.441235,1808.843232,1973.860388,2215.06817,2225.41211,2303.971345,2362.961073,2565.7805,2705.134635,2882.889946,3279.078357,3455.101767,3370.350236,3378.25486,3468.667055,3461.926651,3445.305377,3422.748802,3414.557984,3532.14021,3619.621022,3740.004077,3907.653372,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,509.9874554,321.2812326,341.8914136,351.2821312,355.1486059,362.0997502,398.2881864,431.20229,453.9690177,474.9410321,506.5830178,549.9697662,613.1333294,668.8764894,726.2869826,763.508498,752.7964806,785.5022829,827.7770138,873.9492833,922.8902057,972.7427283,1024.621365,1079.630539,1135.844336,1202.62486,1268.971602,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Cameroon,CMR,938.9173546,939.1026282,963.3513993,1038.13988,1123.296366,1032.019048,1140.607631,1351.560446,1391.245656,1323.429975,1502.939645,1566.848948,1623.149127,1690.598826,1770.140506,1830.979282,1735.644953,1550.111663,1475.243015,1343.509957,1254.243006,1180.203312,1055.792957,1048.318448,1055.262303,1072.052026,1098.749503,1118.637591,1136.633584,1146.57231,1165.481408,1183.026638,1204.420054,1251.928982,1243.080655,1251.463863,1277.304784,1286.00108,1278.596208,1286.515572,1303.42588,1325.930225,1360.10887,1401.753174,1441.783971,1469.192636,1481.73199,1502.169096,1518.312149,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Canada,CAN,25009.18466,26082.56884,27526.8919,28035.7333,28033.2771,29293.26015,29947.88095,30743.44774,31570.38587,31837.66166,32539.91059,31130.23398,31625.86902,33179.75834,34435.51127,34826.23031,35770.05772,36866.42522,37049.8671,36555.56857,35350.91941,35249.45116,35791.89121,36993.14825,37598.65558,37810.13594,35996.71024,36697.54986,37845.73975,39338.8369,39460.73607,40369.74456,41532.21955,42757.00398,44471.08006,45857.99655,48534.17448,48495.20404,46540.64371,47448.01322,48464.49628,48785.93608,49397.52332,50306.94462,50262.02767,50193.75041,51170.47584,51476.20077,51588.76143,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,88282.05094,88391.33307,85529.81317,77239.26854,73351.75776,72662.9919,72209.14933,71944.40462,72742.39599,73741.65327,75102.71197,76439.58992,78611.55517,..,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Central African Republic,CAF,599.0096318,590.260774,592.8183373,620.7221194,612.4223959,633.1966665,643.4728769,636.3600663,605.2736354,562.7663968,538.1491045,562.0751077,500.7485664,532.7295137,539.7590017,547.1073557,510.442105,510.0882288,510.3680301,488.5538828,473.7397377,431.2130734,420.3141651,428.4112085,446.7673923,417.8016404,429.0250735,438.4552925,443.7042693,422.8639065,432.0601369,438.2531333,406.1538252,421.9469698,417.5019001,428.9569196,440.1764425,441.2967849,472.0931803,488.4214018,505.2384587,528.6449274,335.3891552,334.4404986,346.6937973,359.6000403,371.1087922,379.3650086,384.1455616,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Chad,TCD,606.7580776,599.4052542,536.1527862,549.8077536,586.3526312,591.5934531,593.1423383,579.1897139,446.2137646,410.7139854,406.1430786,418.3078427,472.4616321,469.9621056,556.8956138,518.7036427,490.8260994,548.8912355,557.3276246,517.0841908,543.5506957,568.6032613,464.1494319,494.8309958,484.5787518,478.8586693,488.9041529,504.952714,483.8514599,462.2542397,496.9692542,518.7721642,572.6254725,736.8313344,833.5574285,810.0393542,808.631992,806.077947,812.7113189,892.5687203,863.7612549,909.3123438,929.4690557,961.3778848,956.6596918,869.0586853,817.5341371,812.015818,813.7198949,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Chile,CHL,4901.245955,4773.977473,4462.266867,4497.172566,3856.035839,3942.566617,4288.219062,4549.162156,4859.505993,5172.035749,5432.150496,4767.199469,4465.629293,4583.38407,4697.516658,4875.127073,5109.170624,5397.026413,5836.713989,5933.207064,6291.684907,6879.779489,7214.692918,7459.177306,8004.315446,8427.821896,8932.072289,9199.197679,9049.471579,9419.98295,9622.153629,9814.656135,10109.66805,10726.64485,11225.07995,11808.83477,12256.42969,12553.79484,12227.21453,12808.03459,13455.83781,14035.67913,14461.17438,14561.32616,14722.36633,14777.14884,14741.1925,15111.69542,15091.45051,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,China,CHN,238.0197022,241.0904086,253.9340011,254.4875916,271.8345869,263.458488,279.5663444,307.0928852,326.0271997,347.1867323,360.292697,387.0387019,422.5732556,480.4236181,537.5775103,577.0434056,634.0620097,693.9565936,712.1442186,729.2823864,786.0358126,886.9094358,998.5003512,1115.987788,1224.851893,1332.35016,1440.596917,1538.788933,1642.403065,1767.859627,1901.362284,2061.169502,2253.987305,2467.249639,2732.266178,3062.687451,3480.310015,3796.679944,4132.911933,4550.453108,4961.230447,5325.358417,5710.669905,6103.748402,6500.418323,6908.109134,7346.836564,7807.057809,8254.532817,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Colombia,COL,2978.233666,3133.659678,3270.534625,3382.94847,3385.724059,3467.629634,3531.965873,3746.390955,3860.9935,3931.034505,3933.377738,3885.167951,3862.159546,3907.596871,3945.613007,4090.557079,4224.106855,4309.156487,4369.096571,4467.394602,4468.297725,4559.326404,4713.302671,4894.239198,5055.207691,5068.000037,5151.886726,5094.738926,4801.06864,4862.876053,4867.58232,4913.857496,5031.49228,5225.245253,5404.122236,5693.264528,6002.33107,6126.926503,6128.195589,6336.709474,6711.668052,6911.761191,7201.006087,7449.325237,7580.275713,7633.389843,7620.916172,7694.427333,7838.209714,..
