Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Bahrain,BHR,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7624228989,7218871809,6673398138,7098919149,7454123936,7099436702,7183422606,7930427394,8485556649,8516444681,8894404255,9893245745,10555103723,11913546277,11883762234,12350793085,12858411436,13256122074,13891090691,14488407447,15256303191,15636329787,16159920213,17177420213,18376569149,19620478723,20889335106,22621888298,24034627660,24645079787,25713271277,26223297872,27200930851,28674361702,29921808511,30665478723,31756595745,33119255319,33708590426,34321808511,..
Bangladesh,BGD,GDP (constant 2010 US$),NY.GDP.MKTP.KD,17862547694,18944689561,19977749350,19886671931,22064817057,22419234996,22994694611,22563345431,24704483720,25006090364,26411395706,24964187761,21475759891,22189974985,24318427689,23324238301,24644707679,25303474528,27093401257,28394327386,28626917210,30697772283,31352963382,32569786438,34134214252,35274984695,36747144754,38133394723,39054795487,40162616837,42420662840,43899119580,46288410619,48469317656,50354835398,52933646453,55327792522,57811953140,60804893490,63644577096,67013472134,70415938963,73115069177,76580407159,80592862795,85860367933,91588890099,98053782906,1.03951E+11,1.09195E+11,1.15279E+11,1.22731E+11,1.30735E+11,1.38597E+11,1.46997E+11,1.5663E+11,1.67771E+11,1.79992E+11,1.94146E+11,2.09974E+11,..
Barbados,BRB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2730324075,2678447917,2795233898,2897042069,3038329052,3278144611,3421500000,3356500000,3192000000,3208000000,3323500000,3360000000,3531500000,3623000000,3750000000,3885000000,3756500000,3610000000,3404500000,3431500000,3500500000,3571000000,3713000000,3889000000,4034000000,4047500000,4227500000,4127500000,4160000000,4250500000,4310500000,4481000000,4745500000,4850000000,4884000000,4636000000,4530000000,4499500000,4479000000,4416000000,4410500000,4518500000,4630500000,4652500000,4625500000,4621053250,..
Belarus,BLR,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31609653426,31230338985,28232226006,26086576310,23034445865,20638863382,21216752516,23635463450,25620840352,26491948709,28028482646,29352914216,30833847252,33005534487,36784583396,40242334796,44266566188,48073493773,52976989869,53082941364,57222490769,60300321143,61317669289,61932974221,63002175708,60589462936,59058702609,60554177332,62461148027,63224483612,..
Belgium,BEL,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1.19194E+11,1.25128E+11,1.31649E+11,1.37378E+11,1.46935E+11,1.52167E+11,1.56969E+11,1.63041E+11,1.69879E+11,1.81142E+11,1.91254E+11,1.98878E+11,2.09409E+11,2.22773E+11,2.32943E+11,2.28364E+11,2.41273E+11,2.42783E+11,2.49683E+11,2.55528E+11,2.66884E+11,2.66139E+11,2.67722E+11,2.68557E+11,2.75181E+11,2.79726E+11,2.84825E+11,2.91395E+11,3.05158E+11,3.15744E+11,3.25651E+11,3.3162E+11,3.36696E+11,3.33457E+11,3.44218E+11,3.52427E+11,3.57084E+11,3.7063E+11,3.77902E+11,3.9129E+11,4.05833E+11,4.10295E+11,4.17298E+11,4.2163E+11,4.36687E+11,4.46826E+11,4.58231E+11,4.75079E+11,4.77202E+11,4.67559E+11,4.80952E+11,4.89101E+11,4.92717E+11,4.9498E+11,5.02793E+11,5.13057E+11,5.19556E+11,5.27911E+11,5.37479E+11,5.46851E+11,..
Belize,BLZ,GDP (constant 2010 US$),NY.GDP.MKTP.KD,99372344.02,104233914.6,109333717.5,114752771.2,120490272,126431094.2,132462925.9,138970992.6,149209298.9,156828484.9,164368317.6,170876384.3,188337052.4,198416652,225321920.6,233417341.7,233337930.9,248496949.6,268179913.8,288339055.6,327082256.9,330790620.1,330434324.1,323352521.8,329729243.8,333067798.3,348187267.7,385566229.8,423304339.8,478372937.4,533115012.2,594231511.4,665892535.8,707681899.8,708610598.3,713261555.1,723367337.9,749263406.3,777169147.4,845440600.4,955513245.8,1000300238,1047613675,1145398607,1200233963,1223661005,1282630544,1289176335,1334135585,1337063965,1377200000,1403670261,1437547601,1456266266,1509206788,1552213784,1553534426,1582588551,1615489764,1619911044,..
Benin,BEN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1731160070,1785540663,1724360723,1805923467,1926031087,2027992531,2100510760,2123162640,2204741675,2268183072,2315764054,2281100729,2427692646,2517666949,2601739707,2474375561,2496257858,2620662955,2653554320,2826983928,3018703303,3319192008,3393378151,3245840085,3503229996,3767034594,3848822249,3791089802,3920185709,3808297317,4150135201,4325511591,4453447715,4713358588,4808587306,5099275960,5319783136,5624856122,5847657355,6160007012,6520842618,6868608004,7187519594,7435027350,7764375608,7897392139,8208844660,8700254776,9126269458,9337934308,9535344283,9817948328,10290311747,11030332696,11731605852,11940211526,12338975598,13038787443,13912028869,14867185273,..
Bermuda,BMU,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1481304218,1550629256,1619942383,1637275767,1819177104,1905769935,2179507798,2468838324,2520813868,2607439774,2772028996,2867317493,2919293036,2962605989,2988593761,3101207439,3378410339,3577649923,3629625466,3707588782,4002116863,4097405359,3880840594,3958803910,3977861609,3898165775,4158043494,4313970125,4488954455,4508878413,4509744673,4350353065,4347754194,4478559301,4505413381,4703613168,4825929497,5047922261,5244791294,5422204053,5927399287,6355501908,6261580912,6475145041,6625450412,6736374177,7109829729,7347663467,7210559312,6804842936,6634526000,6386212655,6047404972,6030489864,5807297358,5852334673,5813872761,6023836115,5997764874,6025347992,..
Bhutan,BTN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,158707544.1,180780159.3,186951888.2,208097480.8,217424628.7,226582064.9,253161447.7,325809328.5,342058383.6,367482305.5,407451278.4,405789382.5,424459309.4,432890629.2,454325223,486464722.7,513537326,541133993.7,573136823,618895909.2,661804110.3,717057834.2,795878852.3,858142861.4,909706453.9,975999031.6,1044316408,1236061819,1295386119,1382803098,1547991318,1671561537,1757118757,1794369193,1898020852,2024091803,2188590422,2290400031,2360374725,2489357935,..
Bolivia,BOL,GDP (constant 2010 US$),NY.GDP.MKTP.KD,3676733525,3753551369,3962958917,4232346034,4399802890,4615984651,4946977970,5259489428,5708094585,5963480292,6275431694,6593177913,7118488388,7527029935,7748292084,8314771092,8698461816,9130881111,9318310212,9330735624,9202738913,9228103504,8864632406,8506313462,8489243333,8346930749,8132091222,8332423431,8574855687,8899853869,9312432041,9802873833,9964277850,10389682136,10874596698,11383339974,11879806482,12468356893,13095434492,13151337537,13481147773,13708143466,14048868261,14429780945,15031978174,15696607283,16449574974,17200396537,18257962435,18870882464,19649631314,20672216266,21731104190,23207952474,24475238889,25664047067,26758341718,27880909356,29058493999,29702635314,..
Bosnia and Herzegovina,BIH,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2758325394,3332057032,6296177225,8461405739,9781384765,10720397673,11310019599,11807660380,12433466455,12930805077,13719579894,14921313135,15729153561,16650743292,17556851231,17029363373,17176781337,17341594486,17199074937,17603228545,17806343590,18356410773,18934602269,19535100849,20265727508,20808476283,..
Botswana,BWA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,205010518,218014916.8,232549247.1,246318592.9,263147820.4,278447116.4,296111854.6,313655178.9,346799298.9,399247160.4,467599343,588338670.6,743436163.6,901811738.1,981151288.1,1064021782,1177312190,1318731402,1507742557,1690912003,1893599957,2065252094,2316500996,2621045105,2845023464,3047739104,3296828515,3688555310,4405978193,4981372768,5318752276,5715462537,5882186598,5994895595,6212385373,6649141552,7036773211,7622647271,7656466173,8396635191,8563534760,8584992741,9106061525,9527298351,9785090060,10230961942,11086666408,12004283599,12754003612,11778027692,12786654498,13560037580,14164292445,15771004365,16425384697,16146492271,16841399749,17330473616,18106677203,18643744000,..
Brazil,BRA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,2.46662E+11,2.72009E+11,2.86197E+11,2.887E+11,2.98763E+11,3.07886E+11,3.20664E+11,3.36425E+11,3.7487E+11,4.11366E+11,4.47443E+11,4.97982E+11,5.58003E+11,6.36004E+11,6.93513E+11,7.29638E+11,8.01073E+11,8.37973E+11,8.65054E+11,9.23586E+11,1.00773E+12,9.6346E+11,9.6905E+11,9.36008E+11,9.85327E+11,1.06362E+12,1.14859E+12,1.18993E+12,1.18871E+12,1.22769E+12,1.1896E+12,1.20759E+12,1.20195E+12,1.25802E+12,1.32513E+12,1.38366E+12,1.41421E+12,1.46222E+12,1.46716E+12,1.47403E+12,1.53871E+12,1.56009E+12,1.60773E+12,1.62607E+12,1.71973E+12,1.7748E+12,1.84512E+12,1.95711E+12,2.05681E+12,2.05422E+12,2.20887E+12,2.29666E+12,2.34078E+12,2.41112E+12,2.42327E+12,2.33735E+12,2.26078E+12,2.29069E+12,2.32086E+12,2.34724E+12,..
British Virgin Islands,VGB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7076283755,7101437330,8532760029,9464255592,10105537880,12385592666,11519009534,9235168243,9600571984,9648715585,9706595966,9561894976,9302244591,9489138761,9593269454,9490220609,9593609021,9895418335,10366299817,10397872754,10724927173,11205265273,11527788412,11358194866,11294758343,11639492116,11971150348,12299643564,12775897690,13146904070,13213206307,13264408434,13847739934,13869146021,13600124166,13360145141,13707370737,14220755409,14350568390,14045471214,13693161276,13639431536,13301457646,13478181151,13485221856,14006979905,..
Bulgaria,BGR,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32356648111,33942176240,34734578608,35926080912,37146289996,38143088675,39747998039,42154546081,46768231340,45229611684,41105857427,37634321769,34897407869,34380851288,35005899014,36005335303,37855619063,32482841155,33874822442,31069642497,32555406324,33798124235,35810138200,37655019586,40080703028,42947892705,45869280339,48876966228,51851436379,50101534230,50381825504,51568094264,51751979376,51920571507,52899515523,55010127750,57111753665,59112236491,60940251461,63191572278,..
Burkina Faso,BFA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1297842688,1350326511,1433085306,1414913550,1447213468,1501694476,1509767782,1642979349,1693431531,1727741826,1729763623,1754211062,1794759628,1802823975,1952213658,2010748499,2182363771,2190446233,2291378162,2375348499,2394277150,2496160907,2734848721,2744310880,2695497913,2925083309,3157784296,3150321290,3332901089,3404567370,3384040264,3690972190,3699561480,3827617544,3877950993,4099629170,4551192822,4838684151,5192281623,5576263196,5681569471,6057314713,6320987431,6814182089,7119351972,7736021215,8219767362,8557713153,9054059809,9322236611,10109618964,10779134810,11474677065,12139357469,12664608726,13161217010,13945359254,14810458138,15807384970,16708316591,..
Burundi,BDI,GDP (constant 2010 US$),NY.GDP.MKTP.KD,597069961.5,514995918.3,561670811.7,584898188.1,621589073.1,646248914,676060330.5,769502134.9,767209913.7,756012169.3,917236835.2,942431760,882078760.6,942845613.8,935992638.9,942525120.9,1017386696,1134075385,1123408545,1142112791,1153431765,1293726849,1280096145,1327655903,1329720992,1486404412,1534715238,1619172093,1700633035,1723583116,1783905460,1873044298,1891962015,1773903585,1705963078,1570850802,1445182738,1422204332,1489759038,1474712472,1462076191,1492133657,1558481670,1539410094,1613819909,1628344288,1716499708,1775752462,1862084450,1933081018,2032135247,2114083183,2208090294,2316820972,2415069278,2320881502,2306955749,2318490758,2355816908,2399222285,..
Cabo Verde,CPV,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,193155976.6,209480674.5,215398566.5,235906125,244831092.3,265989607.4,273627380.4,285418158.6,302534271.4,319772521,321985896.5,326507051.3,362219240.8,393762420.2,469296454.8,535991160,596807529.5,663163133.2,746173157.1,829913547.9,948465609.7,969632085,1020546411,1063167076,1171578994,1252563900,1352565476,1557758964,1661358044,1640251720,1664310770,1730365372,1749086512,1763128136,1773904599,1791765400,1876082144,1945535441,2033690797,2148955357,..
Cambodia,KHM,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5084948752,3314947309,3643242085,3858102491,4012682038,4200541049,4734235799,5241366892,5631670884,6002175105,6512713851,7186162900,8138335730,9014922681,9935578323,10600425244,10609615491,11242275199,12037055708,12917367180,13867654630,14858161722,15903594934,17021771410,18184202213,19542411046,20920953618,..
Cameroon,CMR,GDP (constant 2010 US$),NY.GDP.MKTP.KD,4955702656,5014362358,5166877150,5360250127,5550386759,5662840577,5924178156,5277727950,5612669658,5887773512,6069827486,6281039748,6448984908,6794371953,7523697657,8369741881,7909812981,8996611122,10976135911,11638558750,11409827124,13358931637,14363016005,15349299978,16496594539,17826741627,19033908509,18625317071,17168140810,16855831638,15826665523,15223891239,14751950122,13581815617,13870284613,14351554659,14977438375,15760956210,16470560361,17177479603,17787859759,18564848458,19351478900,20235298726,21607445414,22044058919,22806269465,23924278802,24758949260,25303315390,26169323293,27249927182,28487963591,30027528839,31794366450,33591213542,35152694906,36400294743,37879051927,39288422139,..
Canada,CAN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,2.93814E+11,3.03108E+11,3.25615E+11,3.43034E+11,3.65821E+11,3.88929E+11,4.15006E+11,4.27835E+11,4.49208E+11,4.71873E+11,5.28279E+11,5.49253E+11,5.79515E+11,6.19129E+11,6.39438E+11,6.48782E+11,6.86921E+11,7.10539E+11,7.36711E+11,7.64052E+11,7.80522E+11,8.07638E+11,7.81896E+11,8.02236E+11,8.49636E+11,8.89886E+11,9.08974E+11,9.45996E+11,9.87716E+11,1.0106E+12,1.01227E+12,9.91149E+11,1.00007E+12,1.02668E+12,1.07283E+12,1.10173E+12,1.11957E+12,1.07652E+12,1.10662E+12,1.15056E+12,1.20714E+12,1.22411E+12,1.266E+12,1.31425E+12,1.36569E+12,1.43391E+12,1.49365E+12,1.59624E+12,1.61233E+12,1.56511E+12,1.61346E+12,1.66424E+12,1.69357E+12,1.73301E+12,1.78275E+12,1.7945E+12,1.81247E+12,1.86994E+12,1.90759E+12,1.93918E+12,..
Cayman Islands,CYM,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4479431265,4621098893,4604583022,4273030814,4156990816,4205588645,4257307026,4311772057,4426229311,4551629806,4699101585,4844894088,5044817941,..,..
Central African Republic,CAF,GDP (constant 2010 US$),NY.GDP.MKTP.KD,900551159.4,945160445.6,910059075.2,903624859.7,922423189.9,931163875.7,937167868.8,980995584.2,994769872.5,1065314401,1090166917,1102488009,1102478449,1123303605,1194510198,1199347810,1264502608,1312632547,1328505365,1295755877,1237723651,1218607435,1312632547,1205961285,1320307238,1372158601,1421254152,1351058581,1374163916,1401334853,1371240794,1363664099,1276061250,1280339574,1343075565,1439777617,1382185174,1455440104,1523847861,1578706002,1539405183,1608135607,1666294509,1576356509,1670857257,1686032158,1766474193,1847865107,1885822677,2047763181,2142591376,2232464842,2345288286,1491791510,1493000913,1557754169,1631752428,1705626400,1770260151,1822841757,..
